Brand_Name,ABV,Calories_oz,Carbs_oz,source,Domestic,Foreign,USA,Mexico,Germany,Netherlands,Jamaica,Australia,Ierland,Canada,UK
BACARDI SILVER MOJITO,5.0,20.0000,3.0000,1,1,0,1,0,0,0,0,0,0,0,0
BECKS,5.0,12.1666,0.8666,4,0,1,0,0,1,0,0,0,0,0,0
BLUE MOON BELGIAN WHITE ALE,5.4,14.0000,1.1750,3,1,0,1,0,0,0,0,0,0,0,0
BLUE MOON SEASONAL COLLECTION,,,,,,,,,,,,,,,
BUD LIGHT,4.2,9.1666,0.5500,4,1,0,1,0,0,0,0,0,0,0,0
BUD LIGHT GOLDEN WHEAT,4.1,9.8333,0.6916,2,1,0,1,0,0,0,0,0,0,0,0
BUD LIGHT LIME,4.2,9.6666,0.6666,4,1,0,1,0,0,0,0,0,0,0,0
BUDWEISER,5.0,12.0833,0.8833,4,1,0,1,0,0,0,0,0,0,0,0
BUSCH,4.3,9.5000,0.5750,4,1,0,1,0,0,0,0,0,0,0,0
BUSCH LIGHT,4.1,7.9166,0.2666,4,1,0,1,0,0,0,0,0,0,0,0
COORS,5.0,12.2500,0.975,3,1,0,1,0,0,0,0,0,0,0,0
COORS LIGHT,4.2,8.5000,0.4166,3,1,0,1,0,0,0,0,0,0,0,0
CORONA EXTRA,4.6,12.1466,1.1666,5,0,1,0,1,0,0,0,0,0,0,0
CORONA LIGHT,4.1,8.2500,0.4166,5,0,1,0,1,0,0,0,0,0,0,0
DOS EQUIS XX AMBAR LAGER,4.7,12.1666,1.1666,7,0,1,0,1,0,0,0,0,0,0,0
FOSTERS LAGER,5.0,12.1666,0.9333,3,0,1,0,0,0,0,0,1,0,0,0
GEORGE KILLIANS IRISH RED LAG,5.4,14.0000,1.2083,3,0,1,0,0,0,0,0,0,1,0,0
GUINNESS DRAUGHT,4.2,12.5625,0.9625,8,0,1,0,0,0,0,0,0,1,0,0
GUINNESS EXTRA STOUT,5.6,14.9375,1.1437,8,0,1,0,0,0,0,0,0,1,0,0
HEINEKEN,5.0,11.8333,0.9166,7,0,1,0,0,0,1,0,0,0,0,0
HEINEKEN PREMIUM LIGHT LAGER,3.3,8.2500,0.9166,7,0,1,0,0,0,1,0,0,0,0,0
HORNSBYS AMBER DRAFT,5.5,16.0714,1.7500,9,1,0,1,0,0,0,0,0,0,0,0
ICEHOUSE,5.5,12.75,0.8833,3,1,0,1,0,0,0,0,0,0,0,0
KEYSTONE LIGHT,4.1,8.4166,0.3916,3,1,0,1,0,0,0,0,0,0,0,0
LANDSHARK LAGER,4.6,12.5000,1.1083,4,1,0,1,0,0,0,0,0,0,0,0
MICHELOB AMBER BOCK,5.1,12.6666,0.9833,4,1,0,1,0,0,0,0,0,0,0,0
MICHELOB ULTR POMEGRANAT RSPB,4.2,8.9166,0.5000,4,1,0,1,0,0,0,0,0,0,0,0
MICHELOB ULTRA,4.2,7.9166,0.2166,4,1,0,1,0,0,0,0,0,0,0,0
MICHELOB ULTRA AMBER,4.0,7.4166,0.2666,4,1,0,1,0,0,0,0,0,0,0,0
MICHELOB ULTRA LIME CACTUS,4.0,7.9166,0.4583,4,1,0,1,0,0,0,0,0,0,0,0
MIKES HARD CRANBERRY LEMONADE,,,,,,,,,,,,,,,
MIKES HARD LEMONADE,,,,,,,,,,,,,,,
MIKES HARD LIGHT LEMONADE,,,,,,,,,,,,,,,
MIKES HARD MANGO PUNCH,,,,,,,,,,,,,,,
MIKES HARD SEASONAL,,,,,,,,,,,,,,,
MILLER CHILL,4.1,8.5000,0.2682,1,1,0,1,0,0,0,0,0,0,0,0
MILLER GENUINE DRAFT,4.6,11.6666,1.0166,3,1,0,1,0,0,0,0,0,0,0,0
MILLER GENUINE DRAFT LIGHT 64,2.8,5.3333,0.2000,3,1,0,1,0,0,0,0,0,0,0,0
MILLER HIGH LIFE,4.6,11.7500,1.0166,3,1,0,1,0,0,0,0,0,0,0,0
MILLER LITE,4.2,8.0000,0.2666,3,1,0,1,0,0,0,0,0,0,0,0
MILWAUKEES BEST,4.8,11.8333,0.9583,3,1,0,1,0,0,0,0,0,0,0,0
MODELO ESPECIAL,4.6,12.5000,1.1666,6,0,1,0,1,0,0,0,0,0,0,0
MOLSON CANADIAN,5.0,11.9166,0.8583,3,0,1,0,0,0,0,0,0,0,1,0
NATURAL ICE,5.9,10.8333,0.3333,4,1,0,1,0,0,0,0,0,0,0,0
NATURAL LIGHT,4.2,7.9166,0.2666,4,1,0,1,0,0,0,0,0,0,0,0
NEGRA MODELO,5.4,15,1.3333,6,0,1,0,1,0,0,0,0,0,0,0
NEWCASTLE BROWN ALE,4.7,10.9166,0.8333,7,0,1,0,0,0,0,0,0,0,0,1
ODOULS,0.4,5.4166,1.1083,4,1,0,1,0,0,0,0,0,0,0,0
ODOULS AMBER,0.4,7.5000,1.5000,4,1,0,1,0,0,0,0,0,0,0,0
PABST BLUE RIBBON,,,,,,,,,,,,,,,
RED STRIPE,4.7,11.5833,1.0000,7,0,1,0,0,0,0,1,0,0,0,0
ROLLING ROCK EXTRA PALE,,,,,,,,,,,,,,,
SAINT PAULI GIRL,5.0,11.2379,0.6802,4,0,1,0,0,1,0,0,0,0,0,0
SAMUEL ADAMS BOSTON LAGER,,,,,,,,,,,,,,,
SAMUEL ADAMS SEASONAL,,,,,,,,,,,,,,,
SHOCK TOP BELGIAN WHITE ALE,,,,,,,,,,,,,,,
SIERRA NEVADA PALE ALE,,,,,,,,,,,,,,,
SMIRNOFF ICE,4.5,17.7441,2.5379,8,1,0,1,0,0,0,0,0,0,0,0
SMIRNOFF ICE GREEN APPLE BITE,4.5,20.1099,3.3767,8,1,0,1,0,0,0,0,0,0,0,0
SMIRNOFF ICE PARTY PACK,,,,,,,,,,,,,,,
SMIRNOFF ICE RASPBERRY BURST,4.5,19.5722,3.1939,8,1,0,1,0,0,0,0,0,0,0,0
STELLA ARTOIS LAGER,,,,,,,,,,,,,,,
TECATE,4.5,11.8333,1.1666,7,0,1,0,1,0,0,0,0,0,0,0
WILD BLUE,8.0,12.0000,1.6750,4,1,0,1,0,0,0,0,0,0,0,0
